x,y,z,xc,yc
1.542374,-0.136843,5.201008,0.589072,0.508637
3.878377,-6.041764,3.311079,0.685945,0.775357
3.084037,-6.809842,3.814195,0.645735,0.81264
3.747321,-4.503545,3.726453,0.675343,0.703978
6.094129,-3.205991,1.473482,0.810858,0.646305
4.588995,-4.728726,2.983221,0.720122,0.714667
6.583231,-3.941269,0.070268,0.866152,0.682705
3.49258,-3.19582,4.130198,0.663187,0.644597
1.255543,0.802341,5.307551,0.570082,0.466326
1.126122,-0.933602,6.538785,0.544562,0.548376
1.443109,-1.142774,5.905127,0.562759,0.558785
0.923043,-0.529042,7.003423,0.531987,0.53014
1.755386,3.529117,4.327696,0.585271,0.335177
2.632589,3.713828,4.364629,0.622953,0.322779
3.388062,3.721976,4.309028,0.655896,0.320163
4.075766,3.675413,4.076063,0.687132,0.322346
4.62291,3.474691,3.646321,0.716482,0.333201
5.171755,2.535753,2.670867,0.758757,0.382787
7.297331,0.763172,-0.048769,0.897013,0.468769
4.706828,1.651,3.109532,0.732392,0.424547
4.071712,1.476821,3.476944,0.702114,0.433163
3.269817,1.470659,3.731945,0.666525,0.433866
2.527572,1.617311,3.865444,0.633505,0.426088
1.970894,1.858505,3.961782,0.603876,0.416587
1.579543,2.097941,4.084996,0.579658,0.409945
7.664182,0.673132,-2.435867,0.99244,0.480777
1.397041,-1.340139,5.630378,0.567192,0.56942
0.884838,0.65874,6.233232,0.541366,0.478899
0.767097,-0.968035,7.077932,0.526564,0.546118
0.460213,-1.334106,6.787447,0.523913,0.56383
0.748618,-1.067994,6.798303,0.531529,0.555057
1.236408,-1.585568,5.48049,0.566036,0.582329
0.387306,-1.40999,6.957705,0.516311,0.563054
0.319925,-1.607931,6.508676,0.517472,0.577877
1.639633,2.556298,3.863736,0.573595,0.389807
1.255645,2.467144,4.2038,0.560698,0.395332
1.031362,2.382663,4.615849,0.549756,0.399751
4.253081,2.772296,3.315305,0.710288,0.368253
4.53,2.91,3.339685,0.72333,0.363373
